Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,108.900002,124.879997,105.800003,117.889999,117.889999,175326200
2010-08-01,119.150002,130.809998,117.570000,124.830002,124.830002,113419800
2010-09-01,126.360001,161.779999,126.169998,157.059998,157.059998,134321000
2010-10-01,157.080002,171.990005,151.399994,165.229996,165.229996,142883500
2010-11-01,164.449997,181.839996,156.770004,175.399994,175.399994,131011400
2010-12-01,179.160004,185.649994,173.089996,180.000000,180.000000,93661700
2011-01-01,181.369995,191.600006,166.899994,169.639999,169.639999,113611300
2011-02-01,170.520004,191.399994,169.509995,173.289993,173.289993,95776400
2011-03-01,173.529999,181.570007,160.589996,180.130005,180.130005,118979100
2011-04-01,181.580002,197.800003,175.369995,195.809998,195.809998,116749400
2011-05-01,196.570007,206.389999,190.880005,196.690002,196.690002,106274500
2011-06-01,196.059998,206.250000,181.589996,204.490005,204.490005,95563700
2011-07-01,205.550003,227.199997,203.610001,222.520004,222.520004,92808500
2011-08-01,225.000000,227.449997,177.100006,215.229996,215.229996,155194700
2011-09-01,215.279999,244.000000,204.470001,216.229996,216.229996,143623300
2011-10-01,217.009995,246.710007,196.509995,213.509995,213.509995,159214400
2011-11-01,208.110001,222.350006,181.509995,192.289993,192.289993,136588100
2011-12-01,191.850006,199.660004,166.970001,173.100006,173.100006,125595200
2012-01-01,175.889999,196.500000,173.500000,194.440002,194.440002,110536900
2012-02-01,173.809998,193.570007,172.000000,179.690002,179.690002,146580400
2012-03-01,179.889999,209.850006,176.580002,202.509995,202.509995,112975100
2012-04-01,198.020004,233.839996,183.649994,231.899994,231.899994,110535400
2012-05-01,229.399994,232.970001,207.110001,212.910004,212.910004,92774300
2012-06-01,208.440002,228.350006,206.369995,228.350006,228.350006,65745600
2012-07-01,229.300003,240.740005,212.610001,233.300003,233.300003,77340200
2012-08-01,234.139999,250.000000,228.660004,248.270004,248.270004,60192400
2012-09-01,248.270004,264.109985,244.660004,254.320007,254.320007,63570500
2012-10-01,255.399994,261.899994,222.919998,232.889999,232.889999,81568500
2012-11-01,234.229996,252.649994,218.179993,252.050003,252.050003,67213600
2012-12-01,252.539993,263.109985,242.750000,250.869995,250.869995,60871200
2013-01-01,256.079987,284.720001,253.259995,265.500000,265.500000,84226400
2013-02-01,268.929993,274.299988,255.110001,264.269989,264.269989,68661700
2013-03-01,263.269989,277.399994,252.070007,266.489990,266.489990,58505700
2013-04-01,266.980011,275.799988,248.559998,253.809998,253.809998,76916200
2013-05-01,253.899994,271.910004,245.750000,269.200012,269.200012,59050500
2013-06-01,268.959991,283.339996,262.950012,277.690002,277.690002,58575800
2013-07-01,279.000000,313.619995,277.160004,301.220001,301.220001,67536900
2013-08-01,303.079987,306.209991,279.329987,280.980011,280.980011,43773900
2013-09-01,284.730011,320.570007,284.170013,312.640015,312.640015,43468800
2013-10-01,314.220001,368.399994,296.500000,364.029999,364.029999,77295400
2013-11-01,365.630005,394.100006,341.880005,393.619995,393.619995,54207700
2013-12-01,399.000000,405.630005,379.500000,398.790009,398.790009,55686700
2014-01-01,398.799988,408.059998,357.760010,358.690002,358.690002,81011900
2014-02-01,358.980011,365.869995,337.730011,362.100006,362.100006,83009000
2014-03-01,358.739990,383.109985,330.880005,336.369995,336.369995,75253500
2014-04-01,338.089996,348.299988,288.000000,304.130005,304.130005,138278700
2014-05-01,304.130005,314.869995,284.380005,312.549988,312.549988,78579200
2014-06-01,312.589996,340.720001,303.839996,324.779999,324.779999,76580100
2014-07-01,325.859985,364.850006,311.859985,312.989990,312.989990,99426000
2014-08-01,313.690002,346.670013,304.589996,339.040009,339.040009,62031700
2014-09-01,339.980011,349.380005,317.640015,322.440002,322.440002,68032800
2014-10-01,322.040009,325.160004,284.000000,305.459991,305.459991,111058700
2014-11-01,306.239990,341.260010,292.290009,338.640015,338.640015,68983700
2014-12-01,338.119995,340.640015,293.029999,310.350006,310.350006,86821400
2015-01-01,312.579987,359.500000,285.250000,354.529999,354.529999,103057100
2015-02-01,350.049988,389.369995,350.010010,380.160004,380.160004,70846200
2015-03-01,380.850006,388.420013,365.649994,372.100006,372.100006,55502800
2015-04-01,372.100006,452.649994,368.339996,421.779999,421.779999,84404800
2015-05-01,423.820007,439.000000,414.549988,429.230011,429.230011,51983000
2015-06-01,430.399994,447.040009,419.140015,434.089996,434.089996,54987500
2015-07-01,439.350006,580.570007,425.570007,536.150024,536.150024,102070000
2015-08-01,537.450012,542.739990,451.000000,512.890015,512.890015,82863200
2015-09-01,499.140015,549.780029,490.500000,511.890015,511.890015,76768900
2015-10-01,511.000000,630.719971,506.000000,625.900024,625.900024,97126100
2015-11-01,627.130005,682.770020,620.409973,664.799988,664.799988,87304900
2015-12-01,673.750000,696.440002,635.270020,675.890015,675.890015,90187500
2016-01-01,656.289978,657.719971,547.179993,587.000000,587.000000,130200900
2016-02-01,578.150024,581.799988,474.000000,552.520020,552.520020,124144800
2016-03-01,556.289978,603.239990,538.580017,593.640015,593.640015,94009500
2016-04-01,590.489990,669.979980,585.250000,659.590027,659.590027,78464200
2016-05-01,663.919983,724.229980,656.000000,722.789978,722.789978,90614500
2016-06-01,720.900024,731.500000,682.119995,715.619995,715.619995,74540900
