Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,228.169998,230.750000,227.000000,227.059998,224.059387,2262700
2018-07-02,225.369995,229.630005,225.259995,229.389999,226.358582,1587500
2018-07-03,230.589996,231.449997,227.279999,227.610001,224.602112,922000
2018-07-05,228.339996,229.130005,225.509995,228.580002,225.559311,1623600
2018-07-06,228.580002,229.289993,225.350006,228.270004,225.253418,1584900
2018-07-09,229.210007,235.460007,228.979996,234.940002,231.835266,1733900
2018-07-10,235.399994,237.199997,234.320007,235.660004,232.545746,1195700
2018-07-11,233.240005,233.470001,229.610001,230.220001,227.177628,1394600
2018-07-12,231.779999,233.750000,229.610001,232.690002,229.614990,1333200
2018-07-13,232.000000,234.889999,231.809998,233.750000,230.660995,983400
2018-07-16,232.320007,233.970001,229.050003,230.179993,227.138168,1935900
2018-07-17,229.729996,231.440002,229.460007,231.149994,228.095322,1801300
2018-07-18,231.589996,236.839996,231.279999,236.190002,233.068726,1888800
2018-07-19,235.119995,237.350006,234.000000,236.550003,233.423981,1549800
2018-07-20,235.449997,236.029999,233.529999,234.929993,231.825394,1705400
2018-07-23,234.860001,236.869995,234.240005,236.399994,233.275955,1207100
2018-07-24,237.690002,240.320007,236.300003,236.830002,233.700287,1928200
2018-07-25,237.179993,240.550003,236.440002,240.240005,237.065216,1885300
2018-07-26,241.199997,243.020004,239.679993,241.240005,238.052002,1505900
2018-07-27,241.979996,244.130005,240.070007,240.839996,237.657303,1215300
2018-07-30,240.770004,244.350006,240.020004,240.440002,237.262589,1212800
2018-07-31,242.520004,248.619995,242.440002,245.869995,242.620804,1886200
2018-08-01,245.699997,245.699997,240.679993,241.100006,237.913864,1096700
2018-08-02,240.000000,241.919998,238.779999,241.119995,237.933594,1030000
2018-08-03,240.630005,244.070007,240.190002,243.320007,240.104523,962300
2018-08-06,242.360001,245.529999,242.360001,245.130005,241.890610,1209700
2018-08-07,245.850006,249.690002,244.690002,247.850006,244.574661,1144700
2018-08-08,247.800003,248.279999,245.389999,245.490005,242.245834,888600
2018-08-09,246.000000,247.070007,244.789993,244.800003,241.564941,1115600
2018-08-10,244.190002,244.190002,240.339996,241.759995,238.565125,1483100
2018-08-13,242.000000,242.669998,240.160004,240.990005,237.805313,900100
2018-08-14,241.550003,246.050003,241.550003,243.699997,240.479507,1038800
2018-08-15,243.070007,244.029999,239.899994,243.479996,240.262405,915300
2018-08-16,245.020004,248.660004,244.500000,246.250000,242.995789,1031200
2018-08-17,246.039993,247.449997,245.479996,246.940002,243.676666,803800
2018-08-20,247.339996,249.919998,247.339996,248.789993,245.502243,1031400
2018-08-21,248.789993,252.289993,248.789993,251.110001,247.791580,1263800
2018-08-22,250.139999,250.770004,246.600006,246.940002,243.676666,1168200
2018-08-23,246.860001,247.660004,243.809998,244.470001,241.239319,1205400
2018-08-24,245.660004,246.070007,244.479996,245.020004,241.782059,1066100
2018-08-27,246.339996,249.839996,246.339996,248.899994,245.610779,1650900
2018-08-28,249.460007,249.669998,247.259995,247.630005,244.357574,857900
